,en,fr
story_start,"	Sujet : Sécurisation des conduits de maintenance
	De    : Responsable Zone 6
	Pour  : Personnel de sécurité


	L'installation de tourelles de sécurité est désormais effective, et protègera de toute intrusion par les conduits de maintenance.

	Prenez note que certaines d'entre elles sont protégées par des boucliers énergétiques de classe ZP47. Ils ne peuvent être détruits que par des munitions du même type élémentaire (glace pour le bleu, feu pour le rouge).

	Ceci devrait suffire à maintenir la quarantaine.
	
	Veuillez me consulter directement pour toutes précisions.

	Adam K.","	Sujet : Sécurisation des conduits de maintenance
	De    : Responsable Zone 6
	Pour  : Personnel de sécurité


	L'installation de tourelles de sécurité est désormais effective, et protègera de toute intrusion par les conduits de maintenance.

	Prenez note que certaines d'entre elles sont protégées par des boucliers énergétiques de classe ZP47. Ils ne peuvent être détruits que par des munitions du même type élémentaire (glace pour le bleu, feu pour le rouge).

	Ceci devrait suffire à maintenir la quarantaine.
	
	Veuillez me consulter directement pour toutes précisions.

	Adam K."
story_01,"	Jour 1 : Enfin arrivé !
	
	Après plusieurs mois de voyage, je viens, enfin, d'arriver au labo avec mon équipe. L'accueil n'a pas été très chaleureux et si le complexe est immense, le labo est plutôt triste. Mais c'est toujours plus sympa que 
le vaisseau où on était ces derniers mois.

	Des collègues m'ont dit qu'on nous fera une présentation de l'aile des tests demain matin avant d'attaquer le boulot. J'ai hâte de voir ce sur quoi je vais devoir bosser !


	Matt T.","	Jour 1 : Enfin arrivé !
	
	Après plusieurs mois de voyage, je viens, enfin, d'arriver au labo avec mon équipe. L'accueil n'a pas été très chaleureux et si le complexe est immense, le labo est plutôt triste. Mais c'est toujours plus sympa que 
le vaisseau où on était ces derniers mois.

	Des collègues m'ont dit qu'on nous fera une présentation de l'aile des tests demain matin avant d'attaquer le boulot. J'ai hâte de voir ce sur quoi je vais devoir bosser !


	Matt T."
story_02,"	Sujet : Nouveaux collaborateurs
	De    : Responsable Site
	Pour  : Personnel de sécurité


	La visite et présentation du complexe pour la nouvelle équipe est terminée. Je tiens à rappeler qu'aucune dérogation aux procédures de sécurité ne sera toléré.

	Les horaires de travail de l'équipe Gamma 3 sont de 7h à 19h. Tout membre en dehors des zones résidentielles au delà des ces horaires devra être arrété sur le champ.


	John B.","	Sujet : Nouveaux collaborateurs
	De    : Responsable Site
	Pour  : Personnel de sécurité


	La visite et présentation du complexe pour la nouvelle équipe est terminée. Je tiens à rappeler qu'aucune dérogation aux procédures de sécurité ne sera toléré.

	Les horaires de travail de l'équipe Gamma 3 sont de 7h à 19h. Tout membre en dehors des zones résidentielles au delà des ces horaires devra être arrété sur le champ.


	John B."
story_03,"	Sujet : Intervention niveau 2 requise
	De    : Chef Biologiste Deborah B.
	Pour  : Personnel de sécurité, Responsable Zone 6


	Les experiences #551 et #558 sont sorties de la zone de confinement.

	Veuillez prendre les mesures nécessaires.


	Deborah B.","	Sujet : Intervention niveau 2 requise
	De    : Chef Biologiste Deborah B.
	Pour  : Personnel de sécurité, Responsable Zone 6


	Les experiences #551 et #558 sont sorties de la zone de confinement.

	Veuillez prendre les mesures nécessaires.


	Deborah B."
story_04,"	Jour 8 : Première excursion prévue à l'extérieur du labo


	La semaine dernière a été très dure, surtout à cause des journées de travail surchargées.
	Heureusement, cette fois, j'ai une mission beaucoup plus sympa, avec des horaires beaucoup plus cool et en plus je vais pouvoir sortir à l'extérieur du labo de temps en temps ! Ma toute première excursion est prévue dans une semaine pour récupérer des échantillons sur la faune locale.
	
	On nous a informés que la sécurité sera présente, alors il ne devrait pas y avoir de problème.
	
	En tout cas, je vous enverrai des photos de ce que je verrai et je vous raconterai comment ça s'est passé.


	Matt T.","	Jour 8 : Première excursion prévue à l'extérieur du labo


	La semaine dernière a été très dure, surtout à cause des journées de travail surchargées.
	Heureusement, cette fois, j'ai une mission beaucoup plus sympa, avec des horaires beaucoup plus cool et en plus je vais pouvoir sortir à l'extérieur du labo de temps en temps ! Ma toute première excursion est prévue dans une semaine pour récupérer des échantillons sur la faune locale.
	
	On nous a informés que la sécurité sera présente, alors il ne devrait pas y avoir de problème.
	
	En tout cas, je vous enverrai des photos de ce que je verrai et je vous raconterai comment ça s'est passé.


	Matt T."
story_05,"	Sujet : Rapport de patrouille
	De    : Lieutenant Sarah H.
	Pour  : Responsable Zone 6


	Un autre biologiste a été contaminé lors de la patrouille #6-24-5

	Ce n'est pas la première fois, et je requière l'utilisation de l'agent chimique KX-485-7.

	La prochaine patrouille est prévue pour le mois prochain. Si on ne fait rien à ce rythme, il n'y aura plus personne à protéger.


	Sarah H.","	Sujet : Rapport de patrouille
	De    : Lieutenant Sarah H.
	Pour  : Responsable Zone 6


	Un autre biologiste a été contaminé lors de la patrouille #6-24-5

	Ce n'est pas la première fois, et je requière l'utilisation de l'agent chimique KX-485-7.

	La prochaine patrouille est prévue pour le mois prochain. Si on ne fait rien à ce rythme, il n'y aura plus personne à protéger.


	Sarah H."
story_06,"	Sujet : Re. Rapport de patrouille
	De    : Responsable Zone 6
	Pour  : Lieutenant Sarah H.


	Effectivement, je ne comprends pas comment vous pouvez perdre les biologistes sous votre protection, alors que votre équipe s'en sort indemne.

	La notion du sacrifice, vous connaissez ?


	Adam K.","	Sujet : Re. Rapport de patrouille
	De    : Responsable Zone 6
	Pour  : Lieutenant Sarah H.


	Effectivement, je ne comprends pas comment vous pouvez perdre les biologistes sous votre protection, alors que votre équipe s'en sort indemne.

	La notion du sacrifice, vous connaissez ?


	Adam K."
story_07,"	Jour 24 : Changement d'ambiance

	Depuis que mon collègue est à l'infirmerie, l'ambiance est beaucoup plus tendue. Il n'est toujours pas ressorti, et les visites sont interdites. Tout le monde se demande ce qui se passe.

	Nos supérieurs ne veulent pas nous donner d'informations, et le personnel médical est enfermé dans leur mutisme.

	Il se passe des choses pas claires ici. Je vais essayer d'en apprendre plus.


	Matt T.","	Jour 24 : Changement d'ambiance

	Depuis que mon collègue est à l'infirmerie, l'ambiance est beaucoup plus tendue. Il n'est toujours pas ressorti, et les visites sont interdites. Tout le monde se demande ce qui se passe.

	Nos supérieurs ne veulent pas nous donner d'informations, et le personnel médical est enfermé dans leur mutisme.

	Il se passe des choses pas claires ici. Je vais essayer d'en apprendre plus.


	Matt T."
story_08,"	Sujet : Mesure de sécurité
	De    : Responsable Site
	Pour  : À tout le personnel


	Afin d'éviter tout nouvel accident, l'ensemble du personnel qui n'est pas affecté à la sécurité, ou à la maintenance des équipements de niveau A, restera confiné jusqu'à nouvel ordre.


	John B.","	Sujet : Mesure de sécurité
	De    : Responsable Site
	Pour  : À tout le personnel


	Afin d'éviter tout nouvel accident, l'ensemble du personnel qui n'est pas affecté à la sécurité, ou à la maintenance des équipements de niveau A, restera confiné jusqu'à nouvel ordre.


	John B."
story_09,"	Sujet : Situation critique
	De    : Chef médical, Roger F.
	Pour  : Responsable Site, Responsable Zone 6


	L'ensemble du personnel du groupe C a succombé. L'agent KV-258-3 que nous utilisons a vraisemblablement des effets retardant sur les humains.

	Et pour une raison inconnue, les mesures de quarantaine n'ont pas d'effet.

	Je recommande la neutralisation du groupe B et F pour endiguer l'épidémie.


	Roger F.","	Sujet : Situation critique
	De    : Chef médical, Roger F.
	Pour  : Responsable Site, Responsable Zone 6


	L'ensemble du personnel du groupe C a succombé. L'agent KV-258-3 que nous utilisons a vraisemblablement des effets retardant sur les humains.

	Et pour une raison inconnue, les mesures de quarantaine n'ont pas d'effet.

	Je recommande la neutralisation du groupe B et F pour endiguer l'épidémie.


	Roger F."
